,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7
START.YEAR,0.115721815,0.01743102,-0.002457947,-0.017000601,-0.008499701,0.03161366,0.011352051
START.QUARTER,-0.009223642,-0.002433942,0.313913474,0.151335656,0.147480606,-0.314614395,-0.133187145
COMPLETION.YEAR,0.114834566,0.02192261,0.006584374,-0.00416606,0.009308198,0.001857259,0.018949839
COMPLETION.QUARTER,0.004377004,-0.023622037,-0.040344033,-0.065682896,-0.065901069,0.133871732,0.051157799
V.1,0.006582887,-0.005937065,0.054258085,0.014576056,0.36224053,0.237153411,-0.088658955
V.2,0.014566969,0.040089747,-0.0315616,-0.015217482,-0.378045211,-0.249482217,-0.066015901
V.3,0.012198458,0.032327979,-0.024079962,-0.024837043,-0.375920291,-0.242083967,-0.077592134
V.4,0.073489007,0.045639379,-0.029440781,-0.010766649,-0.342234915,-0.207919571,-0.01574327
V.5,0.100265406,0.032094608,-0.015162282,-0.001972597,-0.165409822,-0.081240146,0.039654701
V.6,-0.01495896,0.031462739,-0.077505247,0.048261134,-0.344459318,-0.149246838,0.121510712
V.7,0.011980491,0.035476553,-0.064180497,0.031465746,0.04153546,0.038301183,0.188506138
V.8,0.093327616,0.019543601,-0.026451398,0.026549226,-0.19159613,-0.103950668,0.055139524
V.11,0.056166561,-0.22701809,-0.09622216,0.17112135,-0.016067942,0.049922278,-0.041256673
V.12,0.115671681,0.012622307,0.024137112,-0.033933634,0.0095522,-0.005636908,-0.015722768
V.13,0.11584817,0.014225128,0.015545482,0.006622776,0.006308302,0.002501909,-0.015822519
V.14,0.065779195,-0.200408973,-0.112610426,0.119859463,-0.014973421,0.025251737,-0.041837274
V.15,0.115707363,0.011965306,0.015610876,-0.030734268,0.007093594,0.004328437,-0.000892168
V.16,0.112656834,-0.065409635,0.023307736,0.033139171,0.008280208,-0.016164082,-0.003711745
V.17,0.115013825,-0.029109602,0.028565307,-0.046769865,0.002185806,0.005262091,0.000610863
V.18,0.066593211,0.035468843,-0.310139174,-0.045425187,0.137614951,-0.137938904,0.037610937
V.19,0.107110825,0.033527925,-0.131563548,-0.019328084,0.06581219,-0.07055499,-0.019991554
V.20,-0.062386396,0.206372717,-0.11920277,0.208643101,0.000370665,0.015975589,0.07306644
V.21,0.114399346,0.014811826,0.018301333,-0.025867899,0.009818681,0.000702348,-0.014389979
V.22,0.114317756,0.005122907,0.024433993,-0.047767519,0.012863785,-0.009525518,-0.025994988
V.23,0.098664854,0.065361975,0.073195274,-0.085582554,0.004565749,0.039492232,0.099250386
V.24,0.100581946,0.06582636,-0.052892161,0.172052184,-0.005902181,0.032801951,-0.05593706
V.25,0.11593571,0.023460769,0.000619966,0.021882916,0.000686779,0.013673616,-0.011476101
V.26,0.116023525,0.019069413,0.002855015,0.011184066,0.004278702,0.008697886,0.002376593
V.27,0.108206544,0.084052365,0.001663367,0.036827431,0.012365668,0.02752126,0.060942373
V.28,0.033346137,0.02805481,-0.363922849,-0.126637415,0.166604082,-0.195631074,0.062630297
V.29,0.112636672,0.02176712,0.017122325,-0.06221245,0.000222128,0.006585272,-0.041431191
V.11.1,0.056775268,-0.276561999,-0.008823988,0.155265792,-0.009313585,-0.004338622,-0.07576689
V.12.1,0.115778884,0.014384136,0.015958771,-0.031326622,0.010004314,-0.006391343,-0.016272869
V.13.1,0.115785577,0.018581856,-0.000611866,0.012890393,0.01107458,-0.006375981,-0.012191613
V.14.1,0.063917382,-0.24898336,-0.004201708,0.146351877,-0.023055816,0.006081228,-0.141128505
V.15.1,0.115719248,0.010110706,0.024701372,-0.029369988,0.004382491,0.006378923,-0.009959863
V.16.1,0.112681915,-0.062638167,-0.015259666,0.005612941,0.017041121,-0.013928715,0.020889537
V.17.1,0.115220314,-0.019123036,0.023806992,-0.046421493,0.005525265,-0.002937453,0.013529284
V.18.1,0.066439314,0.020883452,-0.074896619,-0.032940265,-0.165806008,0.308137736,-0.314775399
V.19.1,0.10748357,0.01094137,-0.027620829,-0.016219354,-0.067096909,0.129754173,-0.176146776
V.20.1,-0.05276427,0.218587798,-0.097208194,0.263262059,-0.020719236,0.074447746,0.003329735
V.21.1,0.114384902,0.015604184,0.014301771,-0.026580542,0.007134779,0.003547597,-0.030920939
V.22.1,0.11436505,0.004924247,0.016144078,-0.047880636,0.008174161,-0.003712967,-0.010869858
V.23.1,0.098523084,0.094704674,0.064578768,-0.124639237,0.027263124,0.003931678,0.114869562
V.24.1,0.101203757,0.055332325,-0.059204725,0.179574308,-0.000362977,0.028167995,-0.045746795
V.25.1,0.115847313,0.024823373,0.002714669,0.030163364,0.004452285,0.008590807,-0.005572434
V.26.1,0.115893154,0.021244879,0.005103494,0.012684018,0.001682303,0.013251066,0.003191956
V.27.1,0.108708469,0.085659196,-0.004625946,0.029094827,0.017811784,0.018652904,0.059374687
V.28.1,0.025883586,-9.55E-05,-0.08067062,-0.115013783,-0.221053371,0.367259122,-0.367979098
V.29.1,0.113002208,0.02119002,0.03298181,-0.032695528,0.007758926,-0.002090315,-0.038345759
V.11.2,0.054279257,-0.295191869,-0.076332463,0.109019464,0.032824903,-0.045326393,0.054256429
V.12.2,0.115813339,0.015172779,0.015211766,-0.026200192,0.005544484,0.0002967,-0.0201377
V.13.2,0.115492032,0.021845893,-0.010654532,0.021650769,0.004156864,0.003189962,-0.02424077
V.14.2,0.06559708,-0.272069333,-0.074542848,0.085565697,0.028062545,-0.052911019,0.07967819
V.15.2,0.115823273,0.009656063,0.021266231,-0.029665826,0.007742652,0.001705126,0.002551807
V.16.2,0.112617554,-0.040338602,-0.001469351,0.004579317,0.000732743,0.015987217,0.01314023
V.17.2,0.115249816,-0.009170038,0.022964934,-0.043866296,0.003967109,-0.004663149,0.011104656
V.18.2,0.068922456,0.008692272,0.132388597,0.136191171,-0.078695674,0.168124316,0.319014307
V.19.2,0.108792876,-0.003627374,0.060344807,0.055896176,-0.032435271,0.070190353,0.099998917
V.20.2,-0.046148123,0.220013703,-0.079950612,0.299079087,-0.009654697,0.047546063,0.042890341
V.21.2,0.11414282,0.014207724,0.01571259,-0.014086943,0.005934057,0.001961988,0.000251211
V.22.2,0.114552395,0.015346412,0.029050849,-0.036285013,0.009817913,-0.006416945,-0.012470464
V.23.2,0.09837832,0.109546563,0.061840389,-0.144535768,0.020243986,0.013142393,0.074733355
V.24.2,0.101364426,0.045373613,-0.065454327,0.185256035,0.005606986,0.026332463,-0.059318965
V.25.2,0.115739091,0.026862035,-0.002937563,0.033935099,0.008720291,0.004216142,-0.010877084
V.26.2,0.115712295,0.024676727,0.007898139,0.015838967,0.00213714,0.012061984,0.006227743
V.27.2,0.109101246,0.083533939,2.34E-05,0.017788214,0.014240768,0.020788426,0.045716671
V.28.2,0.025218652,-0.020499284,0.196552099,0.112704848,-0.123644919,0.193474453,0.489913362
V.29.2,0.113087222,0.019034121,0.018404619,-0.018796686,0.022755783,-0.022818492,-0.053660255
V.11.3,0.05780457,-0.275103743,-0.035598143,0.063168474,-0.040678812,0.028882038,-0.009699911
V.12.3,0.115818136,0.016875131,0.016890631,-0.016406037,0.003994728,0.000833047,-0.014376776
V.13.3,0.115002623,0.026454936,-0.013189201,0.036616665,0.000506894,0.009322438,-0.012534177
V.14.3,0.059630341,-0.277361813,-0.018688,0.080315727,-0.010818919,-0.004372819,-0.036961452
V.15.3,0.115844817,0.00971228,0.022946889,-0.029996291,0.00707852,0.000954992,-0.012688072
V.16.3,0.112311144,-0.024249407,0.008496719,0.013019492,-0.008712921,0.024129696,0.068242824
V.17.3,0.115245199,0.003313909,0.017593837,-0.041913542,0.003014,-0.002547846,0.023272481
V.18.3,0.062784783,0.016124778,0.239567687,0.173542089,0.118647337,-0.216235479,-0.127758686
V.19.3,0.106690538,-0.007584399,0.114983321,0.074831932,0.047862347,-0.094475329,-0.081955896
V.20.3,-0.038344921,0.216101196,-0.080741096,0.316843151,0.00856152,0.01248673,-0.01080689
V.21.3,0.114072858,0.012459036,0.021933528,-0.015828446,-0.003521511,-0.007034543,-0.025937805
V.22.3,0.114394169,0.015160773,0.018392304,-0.022882674,0.010975304,-0.016784424,-0.009915992
V.23.3,0.098414527,0.112745803,0.063242081,-0.146774377,0.015577218,0.018857098,0.080039668
V.24.3,0.10186038,0.03386281,-0.07495237,0.185858714,-0.007868317,0.030715859,-0.038035024
V.25.3,0.115646119,0.027482766,-0.010630374,0.035157732,0.003996457,0.010716343,-0.009587744
V.26.3,0.115570444,0.026996467,0.006813363,0.017142626,0.002733071,0.009686758,0.003933868
V.27.3,0.10943033,0.082113968,0.007582681,0.01211195,0.009600251,0.016707719,0.055173713
V.28.3,0.015847846,0.001086897,0.314646772,0.149350813,0.146254548,-0.309133733,-0.130947534
V.29.3,0.113085963,0.010311021,-0.007124946,-0.020770667,0.014418978,-0.012129133,-0.061928871
V.11.4,0.057595431,-0.221375771,-0.042691613,0.050984979,-0.044846072,0.031797824,0.197613267
V.12.4,0.115766967,0.01775753,0.017132252,-0.008956813,0.00608727,-0.00342648,-0.019525622
V.13.4,0.114197009,0.030505157,-0.009480589,0.05454829,0.003836677,0.000454224,-0.016396523
V.14.4,0.054957363,-0.235201997,-0.0816779,0.041398823,-0.026736803,0.010653742,0.23523571
V.15.4,0.115914158,0.010787689,0.01554679,-0.031755781,0.006356708,0.004221079,-0.001831123
V.16.4,0.111306162,-0.003774257,0.02444796,0.015761037,0.007982897,-0.007933542,0.059150151
V.17.4,0.115221732,0.018670275,0.022520563,-0.03299039,0.002857276,-0.000193091,0.01939382
V.18.4,0.07346233,0.029291347,-0.291840201,-0.043892005,0.134576604,-0.122690892,0.031676534
V.19.4,0.108867371,-0.011423714,-0.123056049,-0.02600975,0.065115958,-0.061727233,-0.008450883
V.20.4,-0.015543245,0.16423559,-0.156498854,0.312244303,0.026115564,0.034165466,-0.042717832
V.21.4,0.113668321,0.008124761,0.01422748,-0.015974077,0.011546526,-0.001281947,-0.012168288
V.22.4,0.114488165,0.025920435,0.006611009,-0.021049247,0.009814831,-0.009888145,-0.027892319
V.23.4,0.097963025,0.118652409,0.078742583,-0.143810138,0.013157596,0.008848135,0.059899779
V.24.4,0.102589458,0.022332881,-0.060603261,0.189659892,-0.009658718,0.036195043,-0.035876942
V.25.4,0.11556385,0.024791252,-0.005248225,0.039387517,-9.33E-05,0.016862916,-0.007475112
V.26.4,0.115529458,0.026880495,0.00372811,0.014830046,0.001961869,0.011808044,0.001017178
V.27.4,0.109661648,0.076129922,0.020464507,0.002366342,0.009601946,0.011170069,0.043482261
V.28.4,0.033637118,0.02852479,-0.363479758,-0.126737367,0.166480785,-0.195495642,0.063028191
V.29.4,0.113461053,-0.000401364,-0.000247702,-0.006477619,-0.002143623,0.006839423,-0.048311003